ShortName,Label,Section,Type,Controller,Required,Default,Placeholder,Prompt,Constraint,Options,Toggle
,UseRoute53,0,Bool,X,X,TRUE,,,,,
,DeployIam,0,Bool,X,,TRUE,,,,,
,DeployLogging,0,Bool,,,TRUE,,,,,
,DeployBastion,0,Bool,,,,,,,,
,EnableEfsBackups,0,Bool,,,,,,,,
,ProjectName,1,String,,X,,,,,,
,FQDN,1,String,,,,,,,,
,PermissionsBoundaryArn,2,String,,,,,,,,
,RolePath,2,String,,,,,,,,
,QSS3BucketName,3,String,,X,aws-quickstart,,,,,
,QSS3BucketPrefix,3,String,,X,quickstart-nasa-jpl-cubs/,,,,,
,QSS3BucketRegion,3,String,,X,us-east-1,,,,,
,AITInstanceType,4,Dropdown,,X,m5.large,,,,,
,CloudWatchLogsRetentionPeriod,4,Int,,,30,,,,,
,KeyPairName,4,String,,X,,,,,,
,SSLCertificateArn,5,String,,X,,,,,,
,HostedZoneID,6,String,,X,,,,,,
,AvailabilityZones,7,Select,,X,,,,,,
,VPCCIDR,7,String,,X,,,,,,
,PrivateSubnet1CIDR,7,String,,X,,,,,,
,PrivateSubnet2CIDR,7,String,,X,,,,,,
,PrivateSubnet3CIDR,7,String,,X,,,,,,
,RemoteAccessCIDR,7,String,,X,,,,,,
,PublicSubnet1CIDR,7,String,,X,,,,,,
,PublicSubnet2CIDR,7,String,,X,,,,,,
,PublicSubnet3CIDR,7,String,,X,,,,,,
,AccessSgID,8,String,,,,,,,,
,VpcId,8,String,,X,,,,,,
,PrivateSubnet1CIDR,8,String,,X,,,,,,
,PrivateSubnet2CIDR,8,String,,X,,,,,,
,PrivateSubnet3CIDR,8,String,,X,,,,,,
,RemoteAccessCIDR,8,String,,X,,,,,,
,PrivateSubnet1CIDR,8,String,,X,,,,,,
